"Session","Topic","Day","Month","Weekday","Time","timezone"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","16:00 - 17:30","Africa/Abidjan"
"Meal Break","-","10","10","Saturday","17:30 - 18:30","Africa/Abidjan"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","18:30 - 19:45","Africa/Abidjan"
"Session 4.5","Press Conference","10","10","Saturday","19:45 - 20:00","Africa/Abidjan"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","14:00 - 15:15","Africa/Abidjan"
"Coffee Break","Socializing","11","10","Sunday","15:15 - 15:30","Africa/Abidjan"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","15:30 - 17:00","Africa/Abidjan"
"Meal Break","-","11","10","Sunday","17:00 - 18:00","Africa/Abidjan"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","18:00 - 19:15","Africa/Abidjan"
"Session 5.4","Press Conference","11","10","Sunday","19:15 - 19:45","Africa/Abidjan"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","19:45 - 20:00","Africa/Abidjan"
"Session 1.1","Opening Speech","19","9","Saturday","14:00 - 14:15","Africa/Accra"
"Session 1.2","Team Introduction","19","9","Saturday","14:15 - 14:45","Africa/Accra"
"Coffee Break","Socializing","19","9","Saturday","14:45 - 15:00","Africa/Accra"
"Session 1.3","Introduction to Zoom","19","9","Saturday","15:00 - 15:15","Africa/Accra"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","15:15 - 15:30","Africa/Accra"
"Session 1.5","Questions","19","9","Saturday","15:30 - 15:45","Africa/Accra"
"Session 1.6","Socializing","19","9","Saturday","15:45 - 16:30","Africa/Accra"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","14:00 - 14:30","Africa/Accra"
"Session 2.2","Questions","26","9","Saturday","14:30 - 14:45","Africa/Accra"
"Coffee Break","Socializing","26","9","Saturday","14:45 - 15:00","Africa/Accra"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","15:00 - 15:30","Africa/Accra"
"Session 2.4","Questions","26","9","Saturday","15:30 - 15:45","Africa/Accra"
"Coffee Break","Socializing","26","9","Saturday","15:45 - 16:00","Africa/Accra"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","16:00 - 17:00","Africa/Accra"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","14:00 - 14:30","Africa/Accra"
"Session 3.2","Questions","3","10","Saturday","14:30 - 14:45","Africa/Accra"
"Coffee Break","Socializing","3","10","Saturday","14:45 - 15:00","Africa/Accra"
"Session 3.3","Input on NATO policy","3","10","Saturday","15:00 - 15:30","Africa/Accra"
"Session 3.4","Questions","3","10","Saturday","15:30 - 16:00","Africa/Accra"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","14:00 - 14:30","Africa/Accra"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","14:30 - 15:45","Africa/Accra"
"Coffee Break","Socializing","10","10","Saturday","15:45 - 16:00","Africa/Accra"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","16:00 - 17:30","Africa/Accra"
"Meal Break","-","10","10","Saturday","17:30 - 18:30","Africa/Accra"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","18:30 - 19:45","Africa/Accra"
"Session 4.5","Press Conference","10","10","Saturday","19:45 - 20:00","Africa/Accra"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","14:00 - 15:15","Africa/Accra"
"Coffee Break","Socializing","11","10","Sunday","15:15 - 15:30","Africa/Accra"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","15:30 - 17:00","Africa/Accra"
"Meal Break","-","11","10","Sunday","17:00 - 18:00","Africa/Accra"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","18:00 - 19:15","Africa/Accra"
"Session 5.4","Press Conference","11","10","Sunday","19:15 - 19:45","Africa/Accra"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","19:45 - 20:00","Africa/Accra"
"Session 1.1","Opening Speech","19","9","Saturday","17:00 - 17:15","Africa/Addis_Ababa"
"Session 1.2","Team Introduction","19","9","Saturday","17:15 - 17:45","Africa/Addis_Ababa"
"Coffee Break","Socializing","19","9","Saturday","17:45 - 18:00","Africa/Addis_Ababa"
"Session 1.3","Introduction to Zoom","19","9","Saturday","18:00 - 18:15","Africa/Addis_Ababa"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","18:15 - 18:30","Africa/Addis_Ababa"
"Session 1.5","Questions","19","9","Saturday","18:30 - 18:45","Africa/Addis_Ababa"
"Session 1.6","Socializing","19","9","Saturday","18:45 - 19:30","Africa/Addis_Ababa"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","17:00 - 17:30","Africa/Addis_Ababa"
"Session 2.2","Questions","26","9","Saturday","17:30 - 17:45","Africa/Addis_Ababa"
"Coffee Break","Socializing","26","9","Saturday","17:45 - 18:00","Africa/Addis_Ababa"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","18:00 - 18:30","Africa/Addis_Ababa"
"Session 2.4","Questions","26","9","Saturday","18:30 - 18:45","Africa/Addis_Ababa"
"Coffee Break","Socializing","26","9","Saturday","18:45 - 19:00","Africa/Addis_Ababa"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","19:00 - 20:00","Africa/Addis_Ababa"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","17:00 - 17:30","Africa/Addis_Ababa"
"Session 3.2","Questions","3","10","Saturday","17:30 - 17:45","Africa/Addis_Ababa"
"Coffee Break","Socializing","3","10","Saturday","17:45 - 18:00","Africa/Addis_Ababa"
"Session 3.3","Input on NATO policy","3","10","Saturday","18:00 - 18:30","Africa/Addis_Ababa"
"Session 3.4","Questions","3","10","Saturday","18:30 - 19:00","Africa/Addis_Ababa"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","17:00 - 17:30","Africa/Addis_Ababa"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","17:30 - 18:45","Africa/Addis_Ababa"
"Coffee Break","Socializing","10","10","Saturday","18:45 - 19:00","Africa/Addis_Ababa"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","19:00 - 20:30","Africa/Addis_Ababa"
"Meal Break","-","10","10","Saturday","20:30 - 21:30","Africa/Addis_Ababa"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","21:30 - 22:45","Africa/Addis_Ababa"
"Session 4.5","Press Conference","10","10","Saturday","22:45 - 23:00","Africa/Addis_Ababa"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","17:00 - 18:15","Africa/Addis_Ababa"
"Coffee Break","Socializing","11","10","Sunday","18:15 - 18:30","Africa/Addis_Ababa"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","18:30 - 20:00","Africa/Addis_Ababa"
"Meal Break","-","11","10","Sunday","20:00 - 21:00","Africa/Addis_Ababa"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","21:00 - 22:15","Africa/Addis_Ababa"
"Session 5.4","Press Conference","11","10","Sunday","22:15 - 22:45","Africa/Addis_Ababa"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","22:45 - 23:00","Africa/Addis_Ababa"
"Session 1.1","Opening Speech","19","9","Saturday","15:00 - 15:15","Africa/Algiers"
"Session 1.2","Team Introduction","19","9","Saturday","15:15 - 15:45","Africa/Algiers"
"Coffee Break","Socializing","19","9","Saturday","15:45 - 16:00","Africa/Algiers"
"Session 1.3","Introduction to Zoom","19","9","Saturday","16:00 - 16:15","Africa/Algiers"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","16:15 - 16:30","Africa/Algiers"
"Session 1.5","Questions","19","9","Saturday","16:30 - 16:45","Africa/Algiers"
"Session 1.6","Socializing","19","9","Saturday","16:45 - 17:30","Africa/Algiers"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","15:00 - 15:30","Africa/Algiers"
"Session 2.2","Questions","26","9","Saturday","15:30 - 15:45","Africa/Algiers"
"Coffee Break","Socializing","26","9","Saturday","15:45 - 16:00","Africa/Algiers"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","16:00 - 16:30","Africa/Algiers"
"Session 2.4","Questions","26","9","Saturday","16:30 - 16:45","Africa/Algiers"
"Coffee Break","Socializing","26","9","Saturday","16:45 - 17:00","Africa/Algiers"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","17:00 - 18:00","Africa/Algiers"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","15:00 - 15:30","Africa/Algiers"
"Session 3.2","Questions","3","10","Saturday","15:30 - 15:45","Africa/Algiers"
"Coffee Break","Socializing","3","10","Saturday","15:45 - 16:00","Africa/Algiers"
"Session 3.3","Input on NATO policy","3","10","Saturday","16:00 - 16:30","Africa/Algiers"
"Session 3.4","Questions","3","10","Saturday","16:30 - 17:00","Africa/Algiers"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","15:00 - 15:30","Africa/Algiers"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","15:30 - 16:45","Africa/Algiers"
"Coffee Break","Socializing","10","10","Saturday","16:45 - 17:00","Africa/Algiers"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","17:00 - 18:30","Africa/Algiers"
"Meal Break","-","10","10","Saturday","18:30 - 19:30","Africa/Algiers"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","19:30 - 20:45","Africa/Algiers"
"Session 4.5","Press Conference","10","10","Saturday","20:45 - 21:00","Africa/Algiers"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","15:00 - 16:15","Africa/Algiers"
"Coffee Break","Socializing","11","10","Sunday","16:15 - 16:30","Africa/Algiers"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","16:30 - 18:00","Africa/Algiers"
"Meal Break","-","11","10","Sunday","18:00 - 19:00","Africa/Algiers"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","19:00 - 20:15","Africa/Algiers"
"Session 5.4","Press Conference","11","10","Sunday","20:15 - 20:45","Africa/Algiers"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","20:45 - 21:00","Africa/Algiers"
"Session 1.1","Opening Speech","19","9","Saturday","17:00 - 17:15","Africa/Asmara"
"Session 1.2","Team Introduction","19","9","Saturday","17:15 - 17:45","Africa/Asmara"
"Coffee Break","Socializing","19","9","Saturday","17:45 - 18:00","Africa/Asmara"
"Session 1.3","Introduction to Zoom","19","9","Saturday","18:00 - 18:15","Africa/Asmara"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","18:15 - 18:30","Africa/Asmara"
"Session 1.5","Questions","19","9","Saturday","18:30 - 18:45","Africa/Asmara"
"Session 1.6","Socializing","19","9","Saturday","18:45 - 19:30","Africa/Asmara"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","17:00 - 17:30","Africa/Asmara"
"Session 2.2","Questions","26","9","Saturday","17:30 - 17:45","Africa/Asmara"
"Coffee Break","Socializing","26","9","Saturday","17:45 - 18:00","Africa/Asmara"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","18:00 - 18:30","Africa/Asmara"
"Session 2.4","Questions","26","9","Saturday","18:30 - 18:45","Africa/Asmara"
"Coffee Break","Socializing","26","9","Saturday","18:45 - 19:00","Africa/Asmara"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","19:00 - 20:00","Africa/Asmara"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","17:00 - 17:30","Africa/Asmara"
"Session 3.2","Questions","3","10","Saturday","17:30 - 17:45","Africa/Asmara"
"Coffee Break","Socializing","3","10","Saturday","17:45 - 18:00","Africa/Asmara"
"Session 3.3","Input on NATO policy","3","10","Saturday","18:00 - 18:30","Africa/Asmara"
"Session 3.4","Questions","3","10","Saturday","18:30 - 19:00","Africa/Asmara"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","17:00 - 17:30","Africa/Asmara"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","17:30 - 18:45","Africa/Asmara"
"Coffee Break","Socializing","10","10","Saturday","18:45 - 19:00","Africa/Asmara"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","19:00 - 20:30","Africa/Asmara"
"Meal Break","-","10","10","Saturday","20:30 - 21:30","Africa/Asmara"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","21:30 - 22:45","Africa/Asmara"
"Session 4.5","Press Conference","10","10","Saturday","22:45 - 23:00","Africa/Asmara"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","17:00 - 18:15","Africa/Asmara"
"Coffee Break","Socializing","11","10","Sunday","18:15 - 18:30","Africa/Asmara"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","18:30 - 20:00","Africa/Asmara"
"Meal Break","-","11","10","Sunday","20:00 - 21:00","Africa/Asmara"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","21:00 - 22:15","Africa/Asmara"
"Session 5.4","Press Conference","11","10","Sunday","22:15 - 22:45","Africa/Asmara"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","22:45 - 23:00","Africa/Asmara"
"Session 1.1","Opening Speech","19","9","Saturday","17:00 - 17:15","Africa/Asmera"
"Session 1.2","Team Introduction","19","9","Saturday","17:15 - 17:45","Africa/Asmera"
"Coffee Break","Socializing","19","9","Saturday","17:45 - 18:00","Africa/Asmera"
"Session 1.3","Introduction to Zoom","19","9","Saturday","18:00 - 18:15","Africa/Asmera"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","18:15 - 18:30","Africa/Asmera"
"Session 1.5","Questions","19","9","Saturday","18:30 - 18:45","Africa/Asmera"
"Session 1.6","Socializing","19","9","Saturday","18:45 - 19:30","Africa/Asmera"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","17:00 - 17:30","Africa/Asmera"
"Session 2.2","Questions","26","9","Saturday","17:30 - 17:45","Africa/Asmera"
"Coffee Break","Socializing","26","9","Saturday","17:45 - 18:00","Africa/Asmera"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","18:00 - 18:30","Africa/Asmera"
"Session 2.4","Questions","26","9","Saturday","18:30 - 18:45","Africa/Asmera"
"Coffee Break","Socializing","26","9","Saturday","18:45 - 19:00","Africa/Asmera"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","19:00 - 20:00","Africa/Asmera"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","17:00 - 17:30","Africa/Asmera"
"Session 3.2","Questions","3","10","Saturday","17:30 - 17:45","Africa/Asmera"
"Coffee Break","Socializing","3","10","Saturday","17:45 - 18:00","Africa/Asmera"
"Session 3.3","Input on NATO policy","3","10","Saturday","18:00 - 18:30","Africa/Asmera"
"Session 3.4","Questions","3","10","Saturday","18:30 - 19:00","Africa/Asmera"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","17:00 - 17:30","Africa/Asmera"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","17:30 - 18:45","Africa/Asmera"
"Coffee Break","Socializing","10","10","Saturday","18:45 - 19:00","Africa/Asmera"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","19:00 - 20:30","Africa/Asmera"
"Meal Break","-","10","10","Saturday","20:30 - 21:30","Africa/Asmera"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","21:30 - 22:45","Africa/Asmera"
"Session 4.5","Press Conference","10","10","Saturday","22:45 - 23:00","Africa/Asmera"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","17:00 - 18:15","Africa/Asmera"
"Coffee Break","Socializing","11","10","Sunday","18:15 - 18:30","Africa/Asmera"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","18:30 - 20:00","Africa/Asmera"
"Meal Break","-","11","10","Sunday","20:00 - 21:00","Africa/Asmera"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","21:00 - 22:15","Africa/Asmera"
"Session 5.4","Press Conference","11","10","Sunday","22:15 - 22:45","Africa/Asmera"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","22:45 - 23:00","Africa/Asmera"
"Session 1.1","Opening Speech","19","9","Saturday","14:00 - 14:15","Africa/Bamako"
"Session 1.2","Team Introduction","19","9","Saturday","14:15 - 14:45","Africa/Bamako"
"Coffee Break","Socializing","19","9","Saturday","14:45 - 15:00","Africa/Bamako"
"Session 1.3","Introduction to Zoom","19","9","Saturday","15:00 - 15:15","Africa/Bamako"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","15:15 - 15:30","Africa/Bamako"
"Session 1.5","Questions","19","9","Saturday","15:30 - 15:45","Africa/Bamako"
"Session 1.6","Socializing","19","9","Saturday","15:45 - 16:30","Africa/Bamako"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","14:00 - 14:30","Africa/Bamako"
"Session 2.2","Questions","26","9","Saturday","14:30 - 14:45","Africa/Bamako"
"Coffee Break","Socializing","26","9","Saturday","14:45 - 15:00","Africa/Bamako"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","15:00 - 15:30","Africa/Bamako"
"Session 2.4","Questions","26","9","Saturday","15:30 - 15:45","Africa/Bamako"
"Coffee Break","Socializing","26","9","Saturday","15:45 - 16:00","Africa/Bamako"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","16:00 - 17:00","Africa/Bamako"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","14:00 - 14:30","Africa/Bamako"
"Session 3.2","Questions","3","10","Saturday","14:30 - 14:45","Africa/Bamako"
"Coffee Break","Socializing","3","10","Saturday","14:45 - 15:00","Africa/Bamako"
"Session 3.3","Input on NATO policy","3","10","Saturday","15:00 - 15:30","Africa/Bamako"
"Session 3.4","Questions","3","10","Saturday","15:30 - 16:00","Africa/Bamako"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","14:00 - 14:30","Africa/Bamako"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","14:30 - 15:45","Africa/Bamako"
"Coffee Break","Socializing","10","10","Saturday","15:45 - 16:00","Africa/Bamako"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","16:00 - 17:30","Africa/Bamako"
"Meal Break","-","10","10","Saturday","17:30 - 18:30","Africa/Bamako"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","18:30 - 19:45","Africa/Bamako"
"Session 4.5","Press Conference","10","10","Saturday","19:45 - 20:00","Africa/Bamako"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","14:00 - 15:15","Africa/Bamako"
"Coffee Break","Socializing","11","10","Sunday","15:15 - 15:30","Africa/Bamako"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","15:30 - 17:00","Africa/Bamako"
"Meal Break","-","11","10","Sunday","17:00 - 18:00","Africa/Bamako"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","18:00 - 19:15","Africa/Bamako"
"Session 5.4","Press Conference","11","10","Sunday","19:15 - 19:45","Africa/Bamako"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","19:45 - 20:00","Africa/Bamako"
"Session 1.1","Opening Speech","19","9","Saturday","15:00 - 15:15","Africa/Bangui"
"Session 1.2","Team Introduction","19","9","Saturday","15:15 - 15:45","Africa/Bangui"
"Coffee Break","Socializing","19","9","Saturday","15:45 - 16:00","Africa/Bangui"
"Session 1.3","Introduction to Zoom","19","9","Saturday","16:00 - 16:15","Africa/Bangui"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","16:15 - 16:30","Africa/Bangui"
"Session 1.5","Questions","19","9","Saturday","16:30 - 16:45","Africa/Bangui"
"Session 1.6","Socializing","19","9","Saturday","16:45 - 17:30","Africa/Bangui"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","15:00 - 15:30","Africa/Bangui"
"Session 2.2","Questions","26","9","Saturday","15:30 - 15:45","Africa/Bangui"
"Coffee Break","Socializing","26","9","Saturday","15:45 - 16:00","Africa/Bangui"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","16:00 - 16:30","Africa/Bangui"
"Session 2.4","Questions","26","9","Saturday","16:30 - 16:45","Africa/Bangui"
"Coffee Break","Socializing","26","9","Saturday","16:45 - 17:00","Africa/Bangui"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","17:00 - 18:00","Africa/Bangui"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","15:00 - 15:30","Africa/Bangui"
"Session 3.2","Questions","3","10","Saturday","15:30 - 15:45","Africa/Bangui"
"Coffee Break","Socializing","3","10","Saturday","15:45 - 16:00","Africa/Bangui"
"Session 3.3","Input on NATO policy","3","10","Saturday","16:00 - 16:30","Africa/Bangui"
"Session 3.4","Questions","3","10","Saturday","16:30 - 17:00","Africa/Bangui"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","15:00 - 15:30","Africa/Bangui"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","15:30 - 16:45","Africa/Bangui"
"Coffee Break","Socializing","10","10","Saturday","16:45 - 17:00","Africa/Bangui"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","17:00 - 18:30","Africa/Bangui"
"Meal Break","-","10","10","Saturday","18:30 - 19:30","Africa/Bangui"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","19:30 - 20:45","Africa/Bangui"
"Session 4.5","Press Conference","10","10","Saturday","20:45 - 21:00","Africa/Bangui"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","15:00 - 16:15","Africa/Bangui"
"Coffee Break","Socializing","11","10","Sunday","16:15 - 16:30","Africa/Bangui"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","16:30 - 18:00","Africa/Bangui"
"Meal Break","-","11","10","Sunday","18:00 - 19:00","Africa/Bangui"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","19:00 - 20:15","Africa/Bangui"
"Session 5.4","Press Conference","11","10","Sunday","20:15 - 20:45","Africa/Bangui"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","20:45 - 21:00","Africa/Bangui"
"Session 1.1","Opening Speech","19","9","Saturday","14:00 - 14:15","Africa/Banjul"
"Session 1.2","Team Introduction","19","9","Saturday","14:15 - 14:45","Africa/Banjul"
"Coffee Break","Socializing","19","9","Saturday","14:45 - 15:00","Africa/Banjul"
"Session 1.3","Introduction to Zoom","19","9","Saturday","15:00 - 15:15","Africa/Banjul"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","15:15 - 15:30","Africa/Banjul"
"Session 1.5","Questions","19","9","Saturday","15:30 - 15:45","Africa/Banjul"
"Session 1.6","Socializing","19","9","Saturday","15:45 - 16:30","Africa/Banjul"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","14:00 - 14:30","Africa/Banjul"
"Session 2.2","Questions","26","9","Saturday","14:30 - 14:45","Africa/Banjul"
"Coffee Break","Socializing","26","9","Saturday","14:45 - 15:00","Africa/Banjul"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","15:00 - 15:30","Africa/Banjul"
"Session 2.4","Questions","26","9","Saturday","15:30 - 15:45","Africa/Banjul"
"Coffee Break","Socializing","26","9","Saturday","15:45 - 16:00","Africa/Banjul"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","16:00 - 17:00","Africa/Banjul"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","14:00 - 14:30","Africa/Banjul"
"Session 3.2","Questions","3","10","Saturday","14:30 - 14:45","Africa/Banjul"
"Coffee Break","Socializing","3","10","Saturday","14:45 - 15:00","Africa/Banjul"
"Session 3.3","Input on NATO policy","3","10","Saturday","15:00 - 15:30","Africa/Banjul"
"Session 3.4","Questions","3","10","Saturday","15:30 - 16:00","Africa/Banjul"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","14:00 - 14:30","Africa/Banjul"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","14:30 - 15:45","Africa/Banjul"
"Coffee Break","Socializing","10","10","Saturday","15:45 - 16:00","Africa/Banjul"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","16:00 - 17:30","Africa/Banjul"
"Meal Break","-","10","10","Saturday","17:30 - 18:30","Africa/Banjul"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","18:30 - 19:45","Africa/Banjul"
"Session 4.5","Press Conference","10","10","Saturday","19:45 - 20:00","Africa/Banjul"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","14:00 - 15:15","Africa/Banjul"
"Coffee Break","Socializing","11","10","Sunday","15:15 - 15:30","Africa/Banjul"
